top - 22:23:30 up  3:40,  1 user,  load average: 0.25, 0.46, 0.27
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.26 kworker+
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.42 kswapd0
     58 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     60 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     62 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
     65 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
     68 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
     71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
     74 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-+
     77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
     78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
     80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
     91 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     96 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    104 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
    111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    178 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    179 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    190 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    192 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    194 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    196 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    197 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    198 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    199 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    200 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    201 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    202 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    203 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    204 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    205 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    206 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    207 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    208 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    209 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    210 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    212 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    213 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    214 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    215 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    216 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    218 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    220 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    221 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    222 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    223 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    224 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    225 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    226 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    227 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    228 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    229 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    230 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    231 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    232 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    233 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    234 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    235 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    236 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    238 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    239 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    240 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    241 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    242 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    243 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    244 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    245 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    246 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    247 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    248 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    249 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    250 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    251 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    326 root      20   0       0      0      0 S   0.0   0.0   0:01.53 jbd2/sd+
    327 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    376 root      19  -1   67224  18752  17216 S   0.0   0.5   0:00.84 systemd+
    401 root      20   0       0      0      0 I   0.0   0.0   0:21.17 kworker+
    446 root      20   0   31816   9788   4924 S   0.0   0.2   0:00.22 systemd+
    509 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    532 systemd+  20   0   17560   7636   6740 S   0.0   0.2   0:09.51 systemd+
    538 systemd+  20   0   21712  13244  10940 S   0.0   0.3   0:00.38 systemd+
    541 systemd+  20   0   91048   7752   6856 S   0.0   0.2   0:00.16 systemd+
    651 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/57-+
    653 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/58-+
    654 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/59-+
    655 root     -51   0       0      0      0 S   0.0   0.0   0:03.46 irq/16-+
    657 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    699 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    763 avahi     20   0    8672   4484   4100 S   0.0   0.1   0:00.66 avahi-d+
    765 message+  20   0   12212   7132   4444 S   0.0   0.2   0:00.73 dbus-da+
    780 gnome-r+  20   0  365344  16332  13900 S   0.0   0.4   0:00.05 gnome-r+
    793 polkitd   20   0  384640  11024   7784 S   0.0   0.3   0:00.93 polkitd
    804 root      20   0  313376   7472   6832 S   0.0   0.2   0:00.02 power-p+
    812 root      20   0 1848952  39356  24512 S   0.0   1.0   0:01.49 snapd
    818 root      20   0  313292   7788   7020 S   0.0   0.2   0:00.67 account+
    826 root      20   0    9424   2620   2492 S   0.0   0.1   0:00.14 cron
    833 root      20   0  309880   6864   6224 S   0.0   0.2   0:00.04 switche+
    853 root      20   0   18268   8840   7688 S   0.0   0.2   0:00.18 systemd+
    855 root      20   0  543196  14212  11524 S   0.0   0.4   0:00.62 udisksd
    893 avahi     20   0    8480   1392   1136 S   0.0   0.0   0:00.00 avahi-d+
    895 syslog    20   0  222564   6408   4616 S   0.0   0.2   0:00.16 rsyslogd
    906 root      20   0  336308  19072  16256 S   0.0   0.5   0:01.57 Network+
    909 root      20   0   17380   6284   5516 S   0.0   0.2   0:00.18 wpa_sup+
    970 root      20   0  392092  12516  10596 S   0.0   0.3   0:00.08 ModemMa+
   1207 root      20   0  112256  22980  13636 S   0.0   0.6   0:00.04 unatten+
   1222 root      20   0  314824   9348   8324 S   0.0   0.2   0:00.02 gdm3
   1238 kernoops  20   0   12744   2120   1728 S   0.0   0.1   0:00.03 kernelo+
   1241 kernoops  20   0   12744   2144   1732 S   0.0   0.1   0:00.02 kernelo+
   1244 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   1285 rtkit     21   1   22940   3376   3120 S   0.0   0.1   0:00.40 rtkit-d+
   1381 colord    20   0  320068  14460   9852 S   0.0   0.4   0:00.09 colord
   1423 root      20   0  316568   9096   7560 S   0.0   0.2   0:00.05 upowerd
   1755 root      20   0  242584  10220   8812 S   0.0   0.3   0:00.01 gdm-ses+
   1771 dev-nic+  20   0   21108  12484   9412 S   0.0   0.3   0:00.34 systemd
   1772 dev-nic+  20   0   21460   3676   1860 S   0.0   0.1   0:00.00 (sd-pam)
   1785 dev-nic+   9 -11  115716  14984   9008 S   0.0   0.4   0:12.37 pipewire
   1786 dev-nic+  20   0   97736   5872   5104 S   0.0   0.1   0:00.00 pipewire
   1791 dev-nic+   9 -11  406812  18688  13824 S   0.0   0.5   0:00.56 wireplu+
   1796 dev-nic+   9 -11  118420  15276   9624 S   0.0   0.4   0:00.49 pipewir+
   1798 dev-nic+  20   0  316508   9984   8960 S   0.0   0.3   0:00.04 gnome-k+
   1802 dev-nic+  20   0   10812   6456   4664 S   0.0   0.2   0:01.16 dbus-da+
   1831 dev-nic+  20   0  611324   7492   6852 S   0.0   0.2   0:00.03 xdg-doc+
   1837 dev-nic+  20   0  309308   5996   5612 S   0.0   0.2   0:00.00 xdg-per+
   1844 root      20   0    2704   1936   1936 S   0.0   0.0   0:00.00 fusermo+
   1870 dev-nic+  20   0  235668   6016   5632 S   0.0   0.2   0:00.00 gdm-way+
   1880 dev-nic+  20   0  298236  16496  14576 S   0.0   0.4   0:00.02 gnome-s+
   1945 dev-nic+  20   0  162652   7032   6392 S   0.0   0.2   0:00.00 gcr-ssh+
   1946 dev-nic+  20   0   91548   5512   5128 S   0.0   0.1   0:00.00 gnome-s+
   1962 dev-nic+  20   0  314284   7996   7228 S   0.0   0.2   0:00.02 gvfsd
   1970 dev-nic+  20   0  459708   7156   6388 S   0.0   0.2   0:00.00 gvfsd-f+
   1973 dev-nic+  20   0  733488  17996  15436 S   0.0   0.5   0:00.08 gnome-s+
   2006 dev-nic+  20   0 3920784 296568 143144 S   0.0   7.5   4:31.23 gnome-s+
   2007 dev-nic+  20   0  382936   7572   6932 S   0.0   0.2   0:00.00 at-spi-+
   2019 dev-nic+  20   0    9480   5032   4520 S   0.0   0.1   0:00.04 dbus-da+
   2071 dev-nic+  20   0  236068   7668   7028 S   0.0   0.2   0:00.00 at-spi2+
   2083 dev-nic+  20   0  655928  21992  18296 S   0.0   0.6   0:00.04 gnome-s+
   2099 dev-nic+  20   0 1272696  43024  34576 S   0.0   1.1   0:00.10 evoluti+
   2114 dev-nic+  20   0 2531580  26792  21996 S   0.0   0.7   0:00.05 gjs
   2119 dev-nic+  20   0  388640  12160   7020 S   0.0   0.3   0:37.77 ibus-da+
   2120 dev-nic+  20   0  383516   6608   6096 S   0.0   0.2   0:00.01 gsd-a11+
   2121 dev-nic+  20   0  412956  19688  16744 S   0.0   0.5   0:00.16 gsd-col+
   2122 dev-nic+  20   0  431668  12168  10888 S   0.0   0.3   0:00.01 gsd-dat+
   2127 dev-nic+  20   0  459004   7792   7024 S   0.0   0.2   0:00.26 gsd-hou+
   2128 dev-nic+  20   0  484972  18660  15844 S   0.0   0.5   0:00.05 gsd-key+
   2129 dev-nic+  20   0  667840  24664  21080 S   0.0   0.6   0:00.16 gsd-med+
   2130 dev-nic+  20   0  597252  23396  19428 S   0.0   0.6   0:00.09 gsd-pow+
   2132 dev-nic+  20   0  323628  11480  10072 S   0.0   0.3   0:00.02 gsd-pri+
   2133 dev-nic+  20   0  531084   6628   5988 S   0.0   0.2   0:00.01 gsd-rfk+
   2134 dev-nic+  20   0  309560   6232   5720 S   0.0   0.2   0:00.00 gsd-scr+
   2135 dev-nic+  20   0  543184  11248   9840 S   0.0   0.3   0:00.02 gsd-sha+
   2139 dev-nic+  20   0  385816   8192   7296 S   0.0   0.2   0:00.01 gsd-sma+
   2140 dev-nic+  20   0  393632   9848   8696 S   0.0   0.2   0:00.00 gsd-sou+
   2147 dev-nic+  20   0  485948  19352  16024 S   0.0   0.5   0:00.06 gsd-wac+
   2148 dev-nic+  20   0  823712  63388  49692 S   0.0   1.6   0:00.25 evoluti+
   2221 dev-nic+  20   0  310460   7204   6564 S   0.0   0.2   0:00.00 ibus-dc+
   2222 dev-nic+  20   0  420960  28904  17572 S   0.0   0.7   0:03.90 ibus-ex+
   2230 dev-nic+  20   0  310424   7140   6628 S   0.0   0.2   0:00.01 ibus-po+
   2241 dev-nic+  20   0  305624   7328   6176 S   0.0   0.2   0:00.00 gsd-dis+
   2326 dev-nic+  20   0  610500  11004   9212 S   0.0   0.3   0:00.06 gvfs-ud+
   2330 dev-nic+  20   0  416236  14964  13044 S   0.0   0.4   0:00.00 gsd-pri+
   2338 dev-nic+  20   0  620388  24200  20616 S   0.0   0.6   0:00.02 goa-dae+
   2360 dev-nic+  20   0  389124   9280   8384 S   0.0   0.2   0:00.08 goa-ide+
   2365 dev-nic+  20   0  890724  24368  21040 S   0.0   0.6   0:00.07 evoluti+
   2370 dev-nic+  20   0  309792   6536   6024 S   0.0   0.2   0:00.00 gvfs-mt+
   2384 dev-nic+  20   0  309772   6360   5848 S   0.0   0.2   0:00.01 gvfs-go+
   2388 dev-nic+  20   0  825440  30140  26172 S   0.0   0.8   0:00.06 evoluti+
   2393 dev-nic+  20   0  389376   7956   6932 S   0.0   0.2   0:01.61 gvfs-af+
   2403 dev-nic+  20   0  310760   6944   6304 S   0.0   0.2   0:00.01 gvfs-gp+
   2440 dev-nic+  20   0  236768   7444   6676 S   0.0   0.2   0:14.78 ibus-en+
   2462 dev-nic+  20   0  230108   5688   5176 S   0.0   0.1   0:00.00 dconf-s+
   2473 dev-nic+  20   0  236340   6416   5904 S   0.0   0.2   0:00.01 gvfsd-m+
   2474 dev-nic+  20   0  609440   8864   7712 S   0.0   0.2   0:00.02 gvfsd-t+
   2509 dev-nic+  20   0  701608  14852  12112 S   0.0   0.4   0:00.70 xdg-des+
   2522 dev-nic+  39  19  808400  28184  18544 S   0.0   0.7   0:00.48 tracker+
   2523 dev-nic+  20   0  843032  40540  30428 S   0.0   1.0   0:00.21 xdg-des+
   2537 dev-nic+  20   0 2728204  26860  22120 S   0.0   0.7   0:00.05 gjs
   2553 dev-nic+  20   0   39136  11900  10492 S   0.0   0.3   0:00.06 snapd-d+
   2596 dev-nic+  20   0  429620  29868  21272 S   0.0   0.8   0:00.08 snapd-d+
   2655 dev-nic+  20   0 3211356  64364  47000 S   0.0   1.6   0:02.07 gjs
   2680 dev-nic+  20   0  417220  25128  18344 S   0.0   0.6   0:00.08 xdg-des+
   2752 dev-nic+  20   0   31904  19188  10868 S   0.0   0.5   0:00.04 gnome-t+
   2755 dev-nic+  20   0  458404  27688  20520 S   0.0   0.7   0:00.06 gnome-t+
   2761 dev-nic+  20   0  559276  57544  43416 S   0.0   1.5   0:58.37 gnome-t+
   2768 dev-nic+  20   0   11024   5208   3800 S   0.0   0.1   0:00.15 bash
   2784 dev-nic+  20   0  491180  25644  18860 S   0.0   0.6   0:00.89 update-+
   2953 root      20   0    8732   2460   2332 S   0.0   0.1   0:00.00 newgrp
   2954 dev-nic+  20   0   11156   5120   3712 S   0.0   0.1   0:01.03 bash
   3006 dev-nic+  20   0  388228   8412   7516 S   0.0   0.2   0:00.00 gvfsd-r+
   3059 dev-nic+  20   0 3462800 613564 241704 S   0.0  15.5   2:49.24 firefox
   3190 dev-nic+  20   0   21284   4444   4060 S   0.0   0.1   0:00.00 crashhe+
   3249 dev-nic+  20   0  295816  34032  25456 S   0.0   0.9   0:00.05 forkser+
   3254 dev-nic+  20   0  308148  38408  28920 S   0.0   1.0   0:00.13 Socket +
   3282 dev-nic+  20   0 2789864 288604  91096 S   0.0   7.3   0:29.50 Privile+
   3289 dev-nic+  20   0  455284  54044  41572 S   0.0   1.4   0:00.36 RDD Pro+
   3324 dev-nic+  20   0 1691684  24304  16044 S   0.0   0.6   0:00.54 snap
   3621 dev-nic+  20   0 2452400  90972  66916 S   0.0   2.3   0:01.00 WebExte+
   3784 dev-nic+  20   0  442980  49768  37972 S   0.0   1.3   0:00.19 Utility+
   4291 dev-nic+  20   0 2643772 214544  92508 S   0.0   5.4   0:35.33 Isolate+
   4325 dev-nic+  20   0 2673376 283640  91304 S   0.0   7.2   0:44.35 Isolate+
   4356 dev-nic+  20   0 2417104  69092  54472 S   0.0   1.7   0:00.21 Web Con+
   4362 dev-nic+  20   0 2417104  69372  54624 S   0.0   1.8   0:00.21 Web Con+
   5040 dev-nic+  20   0 1461836 176032 103124 S   0.0   4.4   0:03.85 gnome-t+
   5072 dev-nic+  20   0  462188   8528   7632 S   0.0   0.2   0:00.00 gvfsd-n+
   5081 dev-nic+  20   0  390548   9008   7984 S   0.0   0.2   0:00.01 gvfsd-d+
   5103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   5396 root      20   0  596400  43464  36736 S   0.0   1.1   0:04.32 fwupd
   5423 root      20   0   83980   2880   2568 S   0.0   0.1   0:00.00 gpg-age+
   6864 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7080 root      20   0       0      0      0 I   0.0   0.0   0:01.67 kworker+
   7172 root      20   0       0      0      0 I   0.0   0.0   0:00.66 kworker+
   7431 dev-nic+  20   0 2417684  68696  54080 S   0.0   1.7   0:00.13 Web Con+
   7680 root      20   0       0      0      0 I   0.0   0.0   0:01.33 kworker+
   7733 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7734 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7735 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   8426 root      20   0       0      0      0 I   0.0   0.0   0:00.55 kworker+
   8726 root      20   0   38216  12156  10108 S   0.0   0.3   0:00.04 cupsd
   8733 cups-br+  20   0  268352  19992  17048 S   0.0   0.5   0:00.04 cups-br+
   8917 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker+
   8937 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   8938 root      20   0       0      0      0 I   0.0   0.0   0:00.41 kworker+
   8953 root      20   0       0      0      0 I   0.0   0.0   0:00.12 kworker+
   8964 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   9028 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
   9074 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
